"","x"
"1039","15"
"1040","0"
"1041","3"
"1042","3"
"1043","7"
"1044","0"
"1045","3"
"1046","3"
"1047","13"
"1048","8"
"1049","0"
"1050","3"
"1051","0"
"1052","13"
"1053","4"
"1054","0"
"1055","8"
"1056","11"
"1057","7"
"1058","6"
"1059","2"
"1060","0"
"1061","14"
"1062","2"
"1063","4"
"1064","7"
"1065","6"
"1066","0"
"1067","0"
"1068","7"
"1069","3"
"1070","0"
"1071","5"
"1072","3"
"1073","0"
"1074","14"
"1075","4"
"1076","3"
"1077","3"
"1078","0"
"1079","0"
"1080","0"
"1081","8"
"1082","0"
"1083","0"
"1084","3"
"1085","0"
"1086","0"
"1087","0"
"1088","11"
"1089","2"
"1090","3"
"1091","14"
"1092","8"
"1093","0"
"1094","8"
"1095","1"
"1096","4"
"1097","6"
"1098","6"
"1099","0"
"1100","14"
"1101","3"
"1102","9"
"1103","0"
"1104","2"
"1105","1"
"1106","2"
"1107","9"
"1108","2"
"1109","0"
"1110","2"
"1111","7"
"1112","2"
"1113","10"
"1114","2"
"1115","5"
"1116","0"
"1117","0"
"1118","10"
"1119","8"
"1120","4"
"1121","9"
"1122","4"
"1123","8"
"1124","10"
"1125","0"
"1126","11"
"1127","3"
"1128","8"
"1129","0"
"1130","3"
"1131","7"
"1132","0"
"1133","7"
"1134","9"
"1135","14"
"1136","10"
"1137","15"
"1138","6"
"1139","4"
"1140","4"
"1141","6"
"1142","15"
"1143","12"
"1144","1"
"1145","0"
"1146","5"
"1147","10"
"1148","7"
"1149","3"
"1150","9"
"1151","5"
"1152","8"
"1153","0"
"1154","2"
"1155","2"
"1156","0"
"1157","0"
"1158","0"
"1159","3"
"1160","4"
"1161","0"
"1162","5"
"1163","10"
"1164","0"
"1165","10"
"1166","0"
"1167","0"
"1168","2"
"1169","0"
"1170","0"
"1171","0"
"1172","0"
"1173","4"
"1174","4"
"1175","3"
"1176","4"
"1177","0"
"1178","0"
"1179","6"
"1180","3"
"1181","10"
"1182","13"
"1183","14"
"1184","11"
"1185","4"
"1186","11"
"1187","0"
"1188","8"
"1189","9"
"1190","0"
"1191","0"
"1192","4"
"1193","2"
"1194","0"
"1195","4"
"1196","9"
"1197","13"
"1198","0"
"1199","6"
"1200","4"
"1201","8"
"1202","0"
"1203","0"
"1204","0"
"1205","4"
"1206","3"
"1207","3"
"1208","0"
"1209","0"
"1210","0"
"1211","15"
"1212","4"
"1213","0"
"1214","2"
"1215","0"
"1216","0"
"1217","0"
"1218","0"
"1219","0"
"1220","0"
"1221","3"
"1222","0"
"1223","0"
"1224","11"
"1225","5"
"1226","3"
"1227","3"
"1228","0"
"1229","2"
"1230","0"
"1231","0"
"1232","14"
"1233","4"
"1234","3"
"1235","3"
"1236","0"
"1237","2"
"1238","0"
"1239","0"
"1240","5"
"1241","3"
"1242","5"
"1243","5"
"1244","0"
"1245","0"
"1246","13"
"1247","2"
"1248","6"
"1249","13"
"1250","3"
"1251","0"
"1252","6"
"1253","5"
"1254","0"
"1255","0"
"1256","0"
"1257","1"
"1258","8"
"1259","12"
"1260","0"
"1261","4"
"1262","3"
"1263","3"
"1264","0"
"1265","0"
"1266","6"
"1267","8"
"1268","7"
"1269","12"
"1270","4"
"1271","10"
"1272","0"
"1273","0"
"1274","0"
"1275","4"
"1276","0"
"1277","14"
"1278","2"
"1279","3"
"1280","0"
"1281","0"
"1282","8"
"1283","10"
"1284","0"
"1285","4"
"1286","10"
"1287","6"
"1288","1"
"1289","11"
"1290","11"
"1291","0"
"1292","6"
"1293","0"
"1294","2"
"1295","5"
"1296","6"
"1297","3"
"1298","0"
"1299","4"
